antigen,clade,ARP_panel,in_ARP_panel
00MSA 4076 gp140,A,,N
1086C gp140C_avi,C,gp140 panel,Y
1086C_D7gp120.avi/293F,C,Vaccine gp120,N
254008_D11gp120.avi/293F,CRF01_AE,gp120 panel,Y
51802_D11gp120.avi/293F,A,gp120 panel,Y
9004S.gp140C.avi,A,gp140 panel,Y
96ZM651.gp140C.avi,C,,N
A1.con.env03 140 CF,Consensus A,Consensus gp140,N
A244 D11gp120_avi,CRF01_AE,gp120 panel,Y
AE.01.con_env03 gp140CF_avi,CRF01_AE,gp140 panel,Y
AE.A244 V1V2 Tags/293F,CRF01_AE,,N
B.6240_D11gp120/293F,B,gp120 panel,Y
B.63521_D11gp120/293F,B,,N
B.HXB/Bal_120_avi,B,,N
B.MN V3 gp70,B,,N
B.con.env03 140 CF,B,,N
BF1266_gp140C.avi/293F,C,gp140 panel,Y
BJOX002_D11gp120.avi/293F,CRF07_BC,gp120 panel,Y
BORI_D11gp120.avi/293F,B,gp120 panel,Y
C.1086C_V1_V2 Tags,C,,N
C.CH505TF_gp140/293F,C,gp140 panel,Y
C.con.env03 140 CF_avi,Consensus C,Consensus gp140,N
CNE20_D11gp120.avi/293F,CRF07_BC,gp120 panel,Y
Con 6 gp120/B,Group M,,N
Con S gp140 CFI,Group M,Consensus gp140,N
RHPA4259_C7.gp140C.avi,B,gp140 panel,Y
SC42261_gp140.avi/293F,B,gp140 panel,Y
TT31P.2792_D11gp120.avi/293F,B,gp120 panel,Y
TV1c8.2_21 gp140C_avi,C,,N
TV1c8_D11gp120.avi/293F,C,Vaccine gp120,N
WITO4160.gp140C.avi,B,gp140 panel,Y
gp41,B,,N
gp70-001428.2.42 V1V2,C,gp70 V1V2,Y
gp70-191084_B7 V1V2,A,gp70 V1V2,Y
gp70-62357.14 V1V2,B,gp70 V1V2,Y
gp70-700010058 V1V2,B,gp70 V1V2,Y
gp70-7060101641 V1V2,C,gp70 V1V2,Y
gp70-96ZM651.02 V1v2,C,gp70 V1V2,Y
gp70-BF1266_431a_V1V2,C,gp70 V1V2,Y
gp70-BJOX002000.03.2 V1V2,CRF07_BC,gp70 V1V2,Y
gp70-C2101.c01_V1V2,CRF01_AE,gp70 V1V2,Y
gp70-CAP210.2.00.E8 V1V2,C,gp70 V1V2,Y
gp70-CM244.ec1 V1V2,CRF01_AE,gp70 V1V2,Y
gp70-Ce1086_B2 V1V2,C,gp70 V1V2,Y
gp70-RHPA4259.7 V1V2,B,gp70 V1V2,Y
gp70-TT31P.2F10.2792 V1V2,B,gp70 V1V2,Y
gp70-TV1.21 V1V2,C,gp70 V1V2,Y
gp70_B.CaseA_V1_V2,B,gp70 V1V2,Y
p24,B,,N
